label,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20
H,0.0,0.0,0.0,-0.03097856044769287,-0.10375279188156128,-0.0038255504995943213,-0.11037367582321167,-0.16661971807479858,-0.02965735557604443,-0.20072263479232788,-0.15027272701263428,-0.05518580141592633,-0.2664254903793335,-0.13419920206069946,-0.08402049082446705,-0.09237080812454224,-0.2529905438423157,-0.07586934703517567,-0.20978668332099915,-0.26906877756118774,-0.11140552449155461,-0.2817240357398987,-0.27567726373672485,-0.13435391622710835,-0.34081512689590454,-0.2832382917404175,-0.15064063209224354,-0.09637755155563354,-0.1816311776638031,-0.0936767711036266,-0.23027458786964417,-0.2082773745059967,-0.12557087379623066,-0.3126784861087799,-0.2246398627758026,-0.14192837017703663,-0.378234326839447,-0.23419517278671265,-0.15778155165839802,-0.09992533922195435,-0.1018291711807251,-0.10603305238414418,-0.215717613697052,-0.09672337770462036,-0.12905376690555226,-0.18830299377441406,-0.08757513761520386,-0.11764110910821568,-0.15173858404159546,-0.08698314428329468,-0.10956589418578755,-0.10664969682693481,-0.02237987518310547,-0.1178839756839336,-0.19524109363555908,-0.032923102378845215,-0.1331585450761379,-0.17391353845596313,-0.03045344352722168,-0.11808555859256398,-0.13934051990509033,-0.03527331352233887,-0.10618599045205723
H,0.0,0.0,0.0,-0.03074878454208374,-0.10549956560134888,-0.004544496536009746,-0.11022430658340454,-0.16840702295303345,-0.031208833213650422,-0.20051413774490356,-0.15159505605697632,-0.05758507875701113,-0.26584047079086304,-0.13534295558929443,-0.0873148511161439,-0.09175819158554077,-0.25317028164863586,-0.07696633739372416,-0.21029424667358398,-0.2678929269313812,-0.11280494881769343,-0.2814421057701111,-0.27274006605148315,-0.13566913409134074,-0.33977603912353516,-0.2792033851146698,-0.15176293952366038,-0.09538018703460693,-0.18156462907791138,-0.09459640039106532,-0.22859281301498413,-0.20681312680244446,-0.1269131223668687,-0.3113099932670593,-0.22260475158691406,-0.14314705831905528,-0.37710922956466675,-0.23182404041290283,-0.15880028111835642,-0.09856623411178589,-0.10146063566207886,-0.10688683344026728,-0.2136821150779724,-0.09441787004470825,-0.13024707837005778,-0.18593502044677734,-0.08550667762756348,-0.11883722944160624,-0.14931458234786987,-0.08543401956558228,-0.11068487865825816,-0.10482311248779297,-0.02217203378677368,-0.11873739911218806,-0.1927458643913269,-0.03103506565093994,-0.13431227905651255,-0.17095458507537842,-0.028820931911468506,-0.11956722987791224,-0.13628113269805908,-0.03410428762435913,-0.10789564205309077
H,0.0,0.0,0.0,-0.029416680335998535,-0.10392218828201294,-0.002777347709130351,-0.10841429233551025,-0.16669711470603943,-0.029017009907480185,-0.20035630464553833,-0.14810717105865479,-0.054935540207739775,-0.26619428396224976,-0.1313767433166504,-0.0845823429013452,-0.09184575080871582,-0.2504982650279999,-0.07781796822797865,-0.21154078841209412,-0.26668134331703186,-0.11231044600259871,-0.2830694913864136,-0.2712414264678955,-0.13354983846199125,-0.3412120044231415,-0.27707067131996155,-0.14862598399173826,-0.0960608720779419,-0.17799189686775208,-0.0961024678732118,-0.232120543718338,-0.20433804392814636,-0.12674322644722075,-0.31335943937301636,-0.21837812662124634,-0.1409844152117929,-0.3779025673866272,-0.22579312324523926,-0.15547037045013518,-0.0995781421661377,-0.09738510847091675,-0.10863306293737501,-0.2150358259677887,-0.09194380044937134,-0.13070259908687681,-0.18675857782363892,-0.08387506008148193,-0.11812087813865751,-0.1508643627166748,-0.08431541919708252,-0.10976798752796263,-0.10609543323516846,-0.017143666744232178,-0.1204695693637094,-0.1945338249206543,-0.02733677625656128,-0.13511060098659605,-0.17193645238876343,-0.024765491485595703,-0.11908142934095473,-0.1373855471611023,-0.029289543628692627,-0.10688369641553969
H,0.0,0.0,0.0,-0.030416369438171387,-0.10289806127548218,-0.006168840703720591,-0.11097073554992676,-0.1642126739025116,-0.033770628058517715,-0.2033539116382599,-0.1424073576927185,-0.06055107318719699,-0.26950281858444214,-0.12321579456329346,-0.09106869974097087,-0.09328353404998779,-0.24623918533325195,-0.07941280283888652,-0.21245449781417847,-0.26244571805000305,-0.11334177830180003,-0.28434818983078003,-0.26675117015838623,-0.13385325648745372,-0.34360045194625854,-0.27244651317596436,-0.14853289701899364,-0.09699618816375732,-0.1727938950061798,-0.09667142459114864,-0.23203587532043457,-0.1997801661491394,-0.12764729537924602,-0.3140465021133423,-0.21328720450401306,-0.14221329965552165,-0.380104124546051,-0.22031018137931824,-0.15667140462359264,-0.09997540712356567,-0.09151357412338257,-0.10840360798796489,-0.21513891220092773,-0.08915579319000244,-0.13247019031008556,-0.18725734949111938,-0.0827782154083252,-0.12108022698124721,-0.1517273187637329,-0.08290350437164307,-0.11285514363011195,-0.10678809881210327,-0.01009911298751831,-0.11950189598759486,-0.19547349214553833,-0.024273157119750977,-0.13602022805174663,-0.17258328199386597,-0.022861480712890625,-0.12053976186474635,-0.13790661096572876,-0.026334285736083984,-0.10836832203825786
H,0.0,0.0,0.0,-0.03143185377120972,-0.10315883159637451,-0.004943320439348753,-0.11228960752487183,-0.16504764556884766,-0.032232073047349985,-0.20519694685935974,-0.14361196756362915,-0.05864928747076803,-0.2719043493270874,-0.12408328056335449,-0.08866274813670927,-0.09645211696624756,-0.2490924596786499,-0.08195882002372556,-0.21658968925476074,-0.2598951458930969,-0.11843254874009901,-0.2890768051147461,-0.2637438178062439,-0.141125519671629,-0.3480995297431946,-0.2695707678794861,-0.15728636542815977,-0.09855639934539795,-0.17351067066192627,-0.09978920678157621,-0.23517394065856934,-0.19736158847808838,-0.13305332223434263,-0.31800979375839233,-0.21183094382286072,-0.1488053099300366,-0.38439419865608215,-0.21948859095573425,-0.16409671763438993,-0.10013741254806519,-0.09074854850769043,-0.11185017684955412,-0.21760639548301697,-0.08649146556854248,-0.13637581924457365,-0.1894339919090271,-0.08082699775695801,-0.1235311896588307,-0.1533219814300537,-0.08155989646911621,-0.114168350496481,-0.10483980178833008,-0.009106040000915527,-0.12330189059037977,-0.19564563035964966,-0.022528529167175293,-0.13941175202388578,-0.17405647039413452,-0.02254241704940796,-0.12310431609411054,-0.14012748003005981,-0.027684569358825684,-0.11020470867414289
H,0.0,0.0,0.0,-0.03154599666595459,-0.10508334636688232,-0.0057816987918961615,-0.11387717723846436,-0.1654975414276123,-0.033367411053394136,-0.20669099688529968,-0.14284509420394897,-0.06018959433457738,-0.27352795004844666,-0.12276065349578857,-0.09043776319048291,-0.09820932149887085,-0.2458707094192505,-0.08128462806961423,-0.21874046325683594,-0.25684332847595215,-0.11787402704975491,-0.29143112897872925,-0.2601921260356903,-0.14067122415325528,-0.35079604387283325,-0.2648701071739197,-0.15678729192039853,-0.10211580991744995,-0.16999056935310364,-0.09894834533951169,-0.23786386847496033,-0.1936396360397339,-0.13201733008644467,-0.3213971257209778,-0.20762941241264343,-0.14756438211223966,-0.3884148597717285,-0.21452400088310242,-0.16261166409275418,-0.10435706377029419,-0.08710181713104248,-0.11113785282394772,-0.21939486265182495,-0.08344310522079468,-0.1356207437875021,-0.18998342752456665,-0.07915747165679932,-0.12296398804209119,-0.15293759107589722,-0.08043992519378662,-0.11368707642576581,-0.10906678438186646,-0.00522303581237793,-0.12288712040207272,-0.19743096828460693,-0.018906474113464355,-0.13910929933807736,-0.17534410953521729,-0.0201338529586792,-0.12311225459596997,-0.14116555452346802,-0.025652825832366943,-0.1104497991564024
H,0.0,0.0,0.0,-0.035472989082336426,-0.10446363687515259,-0.0058239489717450965,-0.11807334423065186,-0.16518628597259521,-0.033987171567794405,-0.20992392301559448,-0.1419588327407837,-0.06074540279042395,-0.2750524878501892,-0.12111794948577881,-0.09096620938908728,-0.09737974405288696,-0.2440967559814453,-0.08843976966273459,-0.21841323375701904,-0.25462669134140015,-0.12611047885548743,-0.2917864918708801,-0.2576967477798462,-0.14977963230740698,-0.3515370786190033,-0.2621062994003296,-0.16653872988354834,-0.09941494464874268,-0.16697758436203003,-0.10465308985840949,-0.23405128717422485,-0.19003719091415405,-0.13905779979359778,-0.3202623426914215,-0.20549556612968445,-0.1560986485255924,-0.3885211944580078,-0.21205231547355652,-0.1727944310678211,-0.10254591703414917,-0.08373153209686279,-0.11455765328538092,-0.21938025951385498,-0.08058708906173706,-0.13715679905545386,-0.19229590892791748,-0.07874518632888794,-0.1236020546330181,-0.1556621789932251,-0.08064103126525879,-0.11446908078324469,-0.10976272821426392,-0.0031378865242004395,-0.1240017037762371,-0.19973772764205933,-0.017958760261535645,-0.1385188545955387,-0.178949236869812,-0.02018141746520996,-0.1223024051560131,-0.144953191280365,-0.02617955207824707,-0.10985143444668921
H,0.0,0.0,0.0,-0.03409987688064575,-0.10457032918930054,-0.00566547987008903,-0.11669051647186279,-0.1606661081314087,-0.03422431292901251,-0.20835024118423462,-0.13305556774139404,-0.06185083481440756,-0.27311891317367554,-0.10986751317977905,-0.09318201634059164,-0.1005050539970398,-0.24064570665359497,-0.08535981568465445,-0.2214883267879486,-0.24722257256507874,-0.12312771770129416,-0.2950935959815979,-0.24845650792121887,-0.14690188708672736,-0.3551448881626129,-0.2515387237071991,-0.16378727200398657,-0.10285377502441406,-0.1638277769088745,-0.10280117037663672,-0.23991352319717407,-0.1821666657924652,-0.13637785258660529,-0.3255695402622223,-0.19401073455810547,-0.15246645751366827,-0.39445391297340393,-0.19801515340805054,-0.1683134997166178,-0.10429960489273071,-0.08034193515777588,-0.11438366415868018,-0.22066521644592285,-0.07410353422164917,-0.1381740087545893,-0.19061577320098877,-0.07334476709365845,-0.12496848794589255,-0.15340369939804077,-0.07597184181213379,-0.11580549570689413,-0.10836011171340942,0.00146484375,-0.12551369908223364,-0.19763195514678955,-0.01043325662612915,-0.1415381992138407,-0.17521190643310547,-0.01320570707321167,-0.12525961938271735,-0.14120322465896606,-0.019282817840576172,-0.11258555593857977
H,0.0,0.0,0.0,-0.03602367639541626,-0.10320991277694702,-0.006937716738846689,-0.12097251415252686,-0.16160356998443604,-0.03495095588785091,-0.21441403031349182,-0.1335831582546234,-0.06185316212993541,-0.27833014726638794,-0.10845738649368286,-0.0921782247028915,-0.10136204957962036,-0.23910623788833618,-0.08423060097318569,-0.22306481003761292,-0.24314314126968384,-0.12120692350488582,-0.29640209674835205,-0.24250534176826477,-0.1436005673609344,-0.3567524552345276,-0.2444998323917389,-0.15978491224866787,-0.10299867391586304,-0.16137036681175232,-0.10200347669940868,-0.24122470617294312,-0.1788378655910492,-0.1362376204929916,-0.32739847898483276,-0.18977046012878418,-0.152577086468753,-0.3967735171318054,-0.1941314935684204,-0.16829527833085933,-0.10410302877426147,-0.07682627439498901,-0.11420991935354152,-0.2219024896621704,-0.06889981031417847,-0.1404100648365585,-0.19050395488739014,-0.06929010152816772,-0.1277912697992889,-0.15247750282287598,-0.07377058267593384,-0.11811001517396846,-0.10792934894561768,0.006207406520843506,-0.12595623650175014,-0.1985492706298828,-0.006043374538421631,-0.14426800527196804,-0.17494827508926392,-0.009922206401824951,-0.129013209720668,-0.14071279764175415,-0.016244888305664062,-0.11665601201873699
H,0.0,0.0,0.0,-0.03579801321029663,-0.10381746292114258,-0.006454795331464425,-0.12043845653533936,-0.16185149550437927,-0.03524138751696171,-0.21406251192092896,-0.13372957706451416,-0.06288263547490658,-0.2789250910282135,-0.11022448539733887,-0.09402764934371532,-0.10285204648971558,-0.2401399314403534,-0.08697652417491497,-0.2258249819278717,-0.24458876252174377,-0.1250551005012852,-0.2991791367530823,-0.24469298124313354,-0.14832493263553204,-0.3594340682029724,-0.24673697352409363,-0.16489600735972942,-0.10475790500640869,-0.16160941123962402,-0.10446743267844738,-0.2421405017375946,-0.17951276898384094,-0.13991248208354534,-0.3291391432285309,-0.19097495079040527,-0.15681658285926403,-0.3990388512611389,-0.195150226354599,-0.1729367484457356,-0.10613459348678589,-0.07698929309844971,-0.11602539169858517,-0.22378486394882202,-0.07063263654708862,-0.14126009839843334,-0.19310098886489868,-0.0706028938293457,-0.12710499364207806,-0.15534615516662598,-0.07419037818908691,-0.11676388579677166,-0.11018967628479004,0.005476713180541992,-0.12716717618773998,-0.2011212706565857,-0.007131993770599365,-0.14379572469066204,-0.17814940214157104,-0.01025611162185669,-0.1270714660293919,-0.14403170347213745,-0.016225576400756836,-0.11386274892161907
