label,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20
N,0.0,0.0,0.0,-0.05777508020401001,-0.06914478540420532,-0.021437677388476573,-0.08115658164024353,-0.17044740915298462,-0.038189255466150485,-0.05255821347236633,-0.25864097476005554,-0.059198018928455554,-0.007876098155975342,-0.32414916157722473,-0.07634771691768094,-0.07144984602928162,-0.2489728331565857,-0.004791830034392319,-0.07886680960655212,-0.3556306064128876,-0.05495975988118573,-0.07990676164627075,-0.3172450065612793,-0.08660716639964505,-0.07539695501327515,-0.25618067383766174,-0.09755561577289029,-0.021580994129180908,-0.24825060367584229,-0.014319984076010428,-0.018035590648651123,-0.3722535967826843,-0.06443259196488782,-0.032481849193573,-0.33754831552505493,-0.08600923495500012,-0.03845512866973877,-0.28269922733306885,-0.08568997012584134,0.027916014194488525,-0.2292064130306244,-0.030452170242952548,0.01594609022140503,-0.28311923146247864,-0.0801237531205885,-0.007773756980895996,-0.19053077697753906,-0.0780292011996977,-0.016543924808502197,-0.12496042251586914,-0.058975529690670214,0.07594442367553711,-0.19768741726875305,-0.04835716338961049,0.05044788122177124,-0.23644188046455383,-0.07387983130423947,0.031750261783599854,-0.17511138319969177,-0.060953189452575884,0.028719663619995117,-0.132041335105896,-0.04163874762265607
N,0.0,0.0,0.0,-0.058507680892944336,-0.06841987371444702,-0.020151189098413624,-0.08100190758705139,-0.17271697521209717,-0.03505249371593777,-0.04838079214096069,-0.26517432928085327,-0.05424158325260464,-0.003304898738861084,-0.3341538608074188,-0.0697036688572723,-0.075379878282547,-0.2502210736274719,-0.002709062107186355,-0.08199793100357056,-0.3616885840892792,-0.04966990327304188,-0.08139550685882568,-0.3231174349784851,-0.07901220818823163,-0.07727327942848206,-0.2629524767398834,-0.08899303575819317,-0.025456488132476807,-0.24987190961837769,-0.012238484377320447,-0.021848082542419434,-0.3762301206588745,-0.05929376980131451,-0.03537052869796753,-0.3354211747646332,-0.07878953268593136,-0.04274994134902954,-0.27650442719459534,-0.07743433913057629,0.024282515048980713,-0.23112422227859497,-0.028215280304010548,0.015388846397399902,-0.2903826832771301,-0.07528220912283246,-0.01005697250366211,-0.19783121347427368,-0.0728487004882652,-0.021439671516418457,-0.13238215446472168,-0.05438615059321705,0.07286578416824341,-0.19891592860221863,-0.04592573320334736,0.05058544874191284,-0.24190175533294678,-0.07010921140974347,0.030126571655273438,-0.18073353171348572,-0.05750616317456547,0.024718403816223145,-0.13689643144607544,-0.03900887494748417
N,0.0,0.0,0.0,-0.05866488814353943,-0.06712466478347778,-0.020729687984356815,-0.07949650287628174,-0.1734519600868225,-0.035553404118189746,-0.04623281955718994,-0.2660659849643707,-0.05442604887045377,-0.0034503936767578125,-0.3369194567203522,-0.06939734983004087,-0.07555797696113586,-0.24835309386253357,-0.0028695429091101232,-0.08152592182159424,-0.36118707060813904,-0.05064124333418363,-0.08093491196632385,-0.3212689757347107,-0.07994532304562085,-0.0768895149230957,-0.26038071513175964,-0.08959057646549695,-0.0254095196723938,-0.24680882692337036,-0.012131781305441791,-0.021031200885772705,-0.3770752251148224,-0.0613859230533933,-0.034879088401794434,-0.3344080448150635,-0.0815771864608621,-0.0414808988571167,-0.27479904890060425,-0.07984596210278028,0.023957014083862305,-0.2280639111995697,-0.027909918676385814,0.014022767543792725,-0.28600382804870605,-0.07645514326847547,-0.011303424835205078,-0.1912418007850647,-0.07373794632709973,-0.021688401699066162,-0.128342866897583,-0.05444125178016179,0.07189500331878662,-0.19736281037330627,-0.04539794939316266,0.047473251819610596,-0.23665311932563782,-0.07013750540770047,0.028038382530212402,-0.17385125160217285,-0.05725388320840352,0.024333596229553223,-0.13316279649734497,-0.03825245144523137
N,0.0,0.0,0.0,-0.05843716859817505,-0.07145458459854126,-0.019759430853326876,-0.07795101404190063,-0.1766737699508667,-0.03424522404154118,-0.04499936103820801,-0.2673224210739136,-0.05319898699005421,-0.0043947696685791016,-0.3368740379810333,-0.06835305069168385,-0.07330036163330078,-0.24995529651641846,-0.0021409239393221924,-0.08006983995437622,-0.36077964305877686,-0.05003765721400555,-0.07965826988220215,-0.3227880001068115,-0.07987498615463551,-0.07599818706512451,-0.2611602246761322,-0.08966330562313374,-0.02256709337234497,-0.24810636043548584,-0.011710439180632193,-0.0198671817779541,-0.37502002716064453,-0.060086519760687906,-0.033154070377349854,-0.3348144292831421,-0.08056289826114948,-0.038192033767700195,-0.27598610520362854,-0.079356917483409,0.02746570110321045,-0.22810092568397522,-0.0276910395600396,0.01607900857925415,-0.28473642468452454,-0.07479266200741108,-0.008471310138702393,-0.1918945014476776,-0.07169877861221607,-0.01759326457977295,-0.12887811660766602,-0.05248906214316662,0.07602256536483765,-0.1958581507205963,-0.045430989307959635,0.05350440740585327,-0.23575946688652039,-0.06896126393755253,0.03508836030960083,-0.17680495977401733,-0.055666757119496424,0.032411813735961914,-0.13808226585388184,-0.03640563909490879
N,0.0,0.0,0.0,-0.057003676891326904,-0.06539440155029297,-0.021458624926765424,-0.07976123690605164,-0.16932308673858643,-0.03771127301212118,-0.05061107873916626,-0.25805097818374634,-0.057998987910707456,-0.006093919277191162,-0.3238852918148041,-0.0746590411936836,-0.06894034147262573,-0.2499750256538391,-0.007780947321464282,-0.0765189528465271,-0.35693997144699097,-0.05686962517853544,-0.0785565972328186,-0.31976377964019775,-0.08703680994864271,-0.07478582859039307,-0.25924208760261536,-0.09714762779827879,-0.019137799739837646,-0.24703693389892578,-0.017087855440934163,-0.016872942447662354,-0.37166666984558105,-0.06666991027947233,-0.032196104526519775,-0.33261048793792725,-0.08670046838875578,-0.03823995590209961,-0.2745347321033478,-0.08529333683605955,0.03022712469100952,-0.2262972891330719,-0.03273833828922079,0.018007099628448486,-0.28210994601249695,-0.08215663495417402,-0.007543742656707764,-0.18937820196151733,-0.07980769785996245,-0.016680538654327393,-0.12443923950195312,-0.06077079760785864,0.07809364795684814,-0.1938135027885437,-0.05003762531038092,0.05216848850250244,-0.23613035678863525,-0.07594438555594252,0.03303009271621704,-0.17564359307289124,-0.06365532341357039,0.031019866466522217,-0.13289880752563477,-0.04491182702537344
N,0.0,0.0,0.0,-0.056444525718688965,-0.06368821859359741,-0.02197527656298348,-0.08285409212112427,-0.1626247763633728,-0.03941949227791497,-0.0564233660697937,-0.25146567821502686,-0.060628709885889975,-0.01179361343383789,-0.31927889585494995,-0.07814489448409745,-0.07505244016647339,-0.24657586216926575,-0.00808635218035647,-0.08272242546081543,-0.35587602853775024,-0.057551787737423865,-0.08265963196754456,-0.31908708810806274,-0.08816577637534806,-0.07780370116233826,-0.2596498727798462,-0.0988536193404741,-0.025522232055664062,-0.24597904086112976,-0.0172876357470102,-0.024048924446105957,-0.3722176253795624,-0.06604812437635132,-0.0369647741317749,-0.32978999614715576,-0.08568711722236344,-0.042207300662994385,-0.27066856622695923,-0.08442232156139085,0.023833513259887695,-0.22637799382209778,-0.03289201626520821,0.012388229370117188,-0.2839491665363312,-0.08139543378692338,-0.011671721935272217,-0.19158709049224854,-0.07854539299350449,-0.02074754238128662,-0.12883347272872925,-0.05978944295983979,0.0720781683921814,-0.1934467852115631,-0.05022307256203362,0.04699474573135376,-0.23608100414276123,-0.07561019206386277,0.027994155883789062,-0.17459240555763245,-0.06306991869550416,0.024679601192474365,-0.13233673572540283,-0.044525796118790595
N,0.0,0.0,0.0,-0.05694425106048584,-0.06842285394668579,-0.021694616862703242,-0.07905548810958862,-0.1728000044822693,-0.037445118167568126,-0.04832655191421509,-0.2639161944389343,-0.05704870212929336,-0.006566941738128662,-0.33305588364601135,-0.07241335276620475,-0.07410943508148193,-0.250409871339798,-0.003840955189559736,-0.07889816164970398,-0.36131447553634644,-0.052734521665740886,-0.07878544926643372,-0.31955212354660034,-0.08272155139701454,-0.07513624429702759,-0.2594951093196869,-0.09274862472074119,-0.023302555084228516,-0.24845191836357117,-0.012903619074393191,-0.018974244594573975,-0.3760152757167816,-0.06373252485053627,-0.03380471467971802,-0.33346566557884216,-0.08465714518086997,-0.040561676025390625,-0.2767064869403839,-0.08306180451171485,0.026477456092834473,-0.22958633303642273,-0.028525653743315615,0.01583164930343628,-0.2887178659439087,-0.07843966547505943,-0.010020792484283447,-0.1932401955127716,-0.07585205648200599,-0.02052384614944458,-0.1305491328239441,-0.056144887098241725,0.07528311014175415,-0.19846612215042114,-0.04588545251743881,0.05108600854873657,-0.23600107431411743,-0.07169160757320014,0.03145778179168701,-0.1732882857322693,-0.05922923747556297,0.028052806854248047,-0.1342671513557434,-0.040082806238103785
N,0.0,0.0,0.0,-0.05715358257293701,-0.06323087215423584,-0.021171588304525812,-0.08385816216468811,-0.16412651538848877,-0.03742859311688562,-0.05909442901611328,-0.2514929175376892,-0.05759579487431665,-0.01752293109893799,-0.3154211640357971,-0.07361289657939096,-0.07323688268661499,-0.2500067353248596,-0.006844398419445952,-0.07979178428649902,-0.3588046729564667,-0.05555167965877672,-0.07970118522644043,-0.31871554255485535,-0.08505295761216303,-0.07425108551979065,-0.2580363154411316,-0.0947147587715449,-0.022547602653503418,-0.24765893816947937,-0.01579115338910242,-0.01855647563934326,-0.3732394576072693,-0.06467361547339578,-0.031752169132232666,-0.3380472660064697,-0.08409116216290613,-0.03617185354232788,-0.28539443016052246,-0.08255012877572199,0.026922106742858887,-0.22804489731788635,-0.031172171088940104,0.013641715049743652,-0.2854742109775543,-0.08036070116150995,-0.009822070598602295,-0.193009614944458,-0.07777606495011469,-0.01777970790863037,-0.12903457880020142,-0.058661287504321535,0.0751570463180542,-0.19723352789878845,-0.048116618621236285,0.04857057332992554,-0.23668676614761353,-0.07419617273200174,0.02924036979675293,-0.17486971616744995,-0.06221557580221315,0.0260927677154541,-0.13225090503692627,-0.04365903683293482
N,0.0,0.0,0.0,-0.0569881796836853,-0.06552058458328247,-0.02199019800892188,-0.08166509866714478,-0.1654927134513855,-0.03859124455621554,-0.05419015884399414,-0.2546736001968384,-0.058749893047121304,-0.01264965534210205,-0.32285502552986145,-0.0748864387350352,-0.0756249725818634,-0.24835127592086792,-0.007623434365001458,-0.08080071210861206,-0.3595045208930969,-0.0555329558627875,-0.08056503534317017,-0.31802064180374146,-0.0847407032923968,-0.07670935988426208,-0.2581667900085449,-0.09472615022232844,-0.02471017837524414,-0.24715527892112732,-0.016246781982687253,-0.020217955112457275,-0.3743705451488495,-0.06504174817374064,-0.03409641981124878,-0.33108216524124146,-0.08447317529490306,-0.04181903600692749,-0.27327752113342285,-0.08288943517973735,0.024821996688842773,-0.2285422384738922,-0.031147110574153203,0.013363182544708252,-0.2906310260295868,-0.08015243459513499,-0.010981321334838867,-0.19782602787017822,-0.07837522525360896,-0.021462678909301758,-0.13453614711761475,-0.060163849331644315,0.07307285070419312,-0.19747349619865417,-0.04762680951526477,0.04773622751235962,-0.23539218306541443,-0.07447674620917155,0.027019858360290527,-0.1741856336593628,-0.06385791797211482,0.021335482597351074,-0.13317370414733887,-0.04637650150826289
N,0.0,0.0,0.0,-0.059888243675231934,-0.06573748588562012,-0.021483680662299776,-0.08294758200645447,-0.17566728591918945,-0.035825154241706514,-0.04963046312332153,-0.27058616280555725,-0.05392511045613446,-0.006504237651824951,-0.34132277965545654,-0.06774338563957372,-0.07781854271888733,-0.2513470947742462,-0.0031876579956815476,-0.08464673161506653,-0.36562567949295044,-0.0504232481686131,-0.08318156003952026,-0.32223060727119446,-0.07894741227903523,-0.0783456563949585,-0.26029515266418457,-0.0879792295960442,-0.027065694332122803,-0.2498595416545868,-0.011502887551273488,-0.024611353874206543,-0.378828227519989,-0.059349576440240526,-0.03794795274734497,-0.33801546692848206,-0.07875842830219426,-0.042945146560668945,-0.2824420928955078,-0.0769619219569222,0.022793829441070557,-0.23169955611228943,-0.026470883247043275,0.011456906795501709,-0.29118674993515015,-0.07411931684293904,-0.013498067855834961,-0.19539976119995117,-0.07107328852691808,-0.02287745475769043,-0.13170099258422852,-0.05177229872026601,0.07203590869903564,-0.20232197642326355,-0.04321840262093701,0.04612976312637329,-0.24226868152618408,-0.06775910636463323,0.026735007762908936,-0.17878341674804688,-0.05504038041510739,0.023901820182800293,-0.1376887559890747,-0.036119765099670076
