label,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20
O,0.0,0.0,0.0,-0.10641971230506897,-0.04816931486129761,-0.0003304534934613912,-0.18834063410758972,-0.10879343748092651,-0.011812014522092795,-0.24685251712799072,-0.15986287593841553,-0.036622634174364066,-0.25147712230682373,-0.2369501292705536,-0.05777707883908079,-0.12898632884025574,-0.2705148756504059,0.05094100346968844,-0.17571750283241272,-0.37328964471817017,0.008818939311368013,-0.2216896414756775,-0.3419817090034485,-0.030935755016344046,-0.2457878589630127,-0.2887806296348572,-0.05354374835087583,-0.09739401936531067,-0.28844937682151794,0.027093397436601663,-0.1524258553981781,-0.4114755094051361,-0.019772725196617102,-0.20733845233917236,-0.36863866448402405,-0.05875973218871877,-0.23090055584907532,-0.301339715719223,-0.07677074337198064,-0.06146344542503357,-0.29754042625427246,-0.00531243022351191,-0.11489710211753845,-0.41399748623371124,-0.042951373400228476,-0.1799429953098297,-0.36501801013946533,-0.06659076178266332,-0.21066612005233765,-0.29170238971710205,-0.07343726420594976,-0.023624837398529053,-0.29100164771080017,-0.03961913475586698,-0.07759621739387512,-0.3756687045097351,-0.06224605256511495,-0.137911856174469,-0.35398033261299133,-0.07412245685054586,-0.1751667857170105,-0.3073514401912689,-0.07807187551452444
O,0.0,0.0,0.0,-0.10521349310874939,-0.052438318729400635,0.0004864623110165667,-0.1875183880329132,-0.11518740653991699,-0.01024935156652873,-0.24607428908348083,-0.1670842468738556,-0.03419461235949939,-0.2520015239715576,-0.2433188557624817,-0.05455660954663699,-0.12897160649299622,-0.2749510109424591,0.0523622357790714,-0.17624488472938538,-0.3733636736869812,0.01197087164422328,-0.22220107913017273,-0.34427791833877563,-0.026674556961154394,-0.24744248390197754,-0.29422736167907715,-0.04900994286487048,-0.09634760022163391,-0.29374057054519653,0.028294222945476122,-0.15377211570739746,-0.41247814893722534,-0.017115367060398512,-0.20830801129341125,-0.37085622549057007,-0.05524425343224948,-0.23312771320343018,-0.3056926131248474,-0.07313578337976878,-0.06004554033279419,-0.3029247522354126,-0.004184221332764082,-0.11611592769622803,-0.4153742641210556,-0.0417966111058945,-0.1806611716747284,-0.36576181650161743,-0.06493816286871379,-0.21150770783424377,-0.292559415102005,-0.0715420594866032,-0.023526877164840698,-0.29633012413978577,-0.038416826581453734,-0.07936310768127441,-0.3774101734161377,-0.06192132220218127,-0.13947021961212158,-0.35392284393310547,-0.07385802776167338,-0.17653506994247437,-0.30638572573661804,-0.07772442460606044
O,0.0,0.0,0.0,-0.10528972744941711,-0.053308844566345215,-0.000982593983735569,-0.1857810616493225,-0.11603808403015137,-0.013296150142650731,-0.24123552441596985,-0.16870403289794922,-0.03862252878616346,-0.24529218673706055,-0.24357080459594727,-0.060513906652431615,-0.12562239170074463,-0.2772614359855652,0.04682556120087611,-0.17146113514900208,-0.380202054977417,0.0022494236413876934,-0.21811836957931519,-0.34566596150398254,-0.03893581452439321,-0.24248315393924713,-0.2875983715057373,-0.06220098632047666,-0.09323003888130188,-0.2951688766479492,0.023119925981063716,-0.15023866295814514,-0.4152790904045105,-0.025856571743588574,-0.20557206869125366,-0.3678976893424988,-0.06573684933255208,-0.22897011041641235,-0.29711174964904785,-0.08436502190897954,-0.05692136287689209,-0.30346423387527466,-0.009070357779364713,-0.11098173260688782,-0.4224749952554703,-0.04885019781659139,-0.17618751525878906,-0.37227481603622437,-0.07343806746075643,-0.2071378231048584,-0.29587221145629883,-0.08080237778494848,-0.01880618929862976,-0.29531726241111755,-0.04306590231726659,-0.07335898280143738,-0.37937575578689575,-0.06866135122845662,-0.13378691673278809,-0.35936498641967773,-0.08231816115448964,-0.1718762218952179,-0.3140033483505249,-0.08711627545426381
O,0.0,0.0,0.0,-0.10954231023788452,-0.05542081594467163,0.004735350250825832,-0.19039684534072876,-0.11536639928817749,-0.004218902331217578,-0.2472429871559143,-0.16694271564483643,-0.02794728743322139,-0.25494813919067383,-0.23940038681030273,-0.049224929310753396,-0.13069254159927368,-0.27308762073516846,0.059039759091660926,-0.17685014009475708,-0.3715912997722626,0.018778289310262153,-0.22272107005119324,-0.3420153856277466,-0.021494911410286477,-0.24940410256385803,-0.2902534306049347,-0.0453203705925489,-0.09877437353134155,-0.29270124435424805,0.03225349878482575,-0.1576758325099945,-0.4113064408302307,-0.014854658753051808,-0.21126648783683777,-0.3676939308643341,-0.057132763214781335,-0.23585152626037598,-0.30082234740257263,-0.07780357951708083,-0.06291374564170837,-0.30274468660354614,-0.0028114324755961206,-0.12055811285972595,-0.41859641671180725,-0.04260611290521865,-0.18475162982940674,-0.36834293603897095,-0.06964307779855972,-0.2162805199623108,-0.2930789589881897,-0.07864214981384521,-0.024608492851257324,-0.2964891493320465,-0.039157160915806344,-0.08090615272521973,-0.3790293335914612,-0.06539363170452361,-0.13983076810836792,-0.3568419814109802,-0.07987786585874801,-0.1771550178527832,-0.30959734320640564,-0.08535673970766311
O,0.0,0.0,0.0,-0.1096922755241394,-0.052011311054229736,0.004478543074242225,-0.19059202075004578,-0.11193114519119263,-0.0035101657180121038,-0.24412348866462708,-0.16646108031272888,-0.025391218243726144,-0.25208452343940735,-0.24037739634513855,-0.04458328987527693,-0.1333819329738617,-0.270527184009552,0.05486956332754289,-0.18048891425132751,-0.3688153028488159,0.015476855458132377,-0.22312039136886597,-0.3372209966182709,-0.02263505662847365,-0.24516713619232178,-0.2827659845352173,-0.0443474566476425,-0.10042929649353027,-0.2912057638168335,0.02929934580754434,-0.15794655680656433,-0.4092618525028229,-0.0151001773687085,-0.20970702171325684,-0.36554181575775146,-0.05349023173619116,-0.23185467720031738,-0.2978002727031708,-0.07164070661235655,-0.06379592418670654,-0.3011710047721863,-0.00433204555008615,-0.11962312459945679,-0.41792042553424835,-0.04191314707566107,-0.18258339166641235,-0.3690929114818573,-0.06624279077220763,-0.21247544884681702,-0.29553675651550293,-0.07387921120096053,-0.025480151176452637,-0.29500049352645874,-0.03918706159163321,-0.08316037058830261,-0.37758976221084595,-0.06372894997764433,-0.14158892631530762,-0.35475316643714905,-0.07629430200029219,-0.17773890495300293,-0.30808010697364807,-0.08050863350797499
O,0.0,0.0,0.0,-0.11373114585876465,-0.057167887687683105,0.008776287000614502,-0.19392350316047668,-0.117739737033844,0.002410532824683287,-0.24900825321674347,-0.1681135594844818,-0.019641992252331875,-0.25751256942749023,-0.24164122343063354,-0.03916115927324881,-0.13273680210113525,-0.27438613772392273,0.06438145545496354,-0.18198809027671814,-0.37508100271224976,0.025967668194311955,-0.22769445180892944,-0.3421247601509094,-0.013379321049910686,-0.25128600001335144,-0.287942111492157,-0.03683239090071311,-0.10072410106658936,-0.2936609089374542,0.03532293942942033,-0.16043710708618164,-0.4124751091003418,-0.008688851807278297,-0.21393772959709167,-0.36618781089782715,-0.05033774914966216,-0.23514437675476074,-0.29799965023994446,-0.07155927511678328,-0.06549102067947388,-0.30287882685661316,-0.001873956842359803,-0.12231495976448059,-0.41778799891471863,-0.03802072497830977,-0.18565931916236877,-0.3681303560733795,-0.06506423893199553,-0.21374747157096863,-0.2939637303352356,-0.07548395040259948,-0.028760194778442383,-0.2960742712020874,-0.04030017050729384,-0.08453845977783203,-0.37934476137161255,-0.06364316734300246,-0.14369302988052368,-0.3560103178024292,-0.07758803906665435,-0.17894214391708374,-0.3069940209388733,-0.08362503590808501
O,0.0,0.0,0.0,-0.10657447576522827,-0.05074512958526611,-0.001214710501699301,-0.1893770694732666,-0.11312097311019897,-0.01279659461670235,-0.2467404454946518,-0.16372007131576538,-0.03695615925335005,-0.2548666000366211,-0.23938465118408203,-0.05763230272077635,-0.1294451355934143,-0.27326342463493347,0.04450974441624567,-0.17803585529327393,-0.37565428018569946,0.001565720215694455,-0.22429001331329346,-0.34098756313323975,-0.03719831802391127,-0.248012512922287,-0.2868935763835907,-0.0590238923623474,-0.09578055143356323,-0.291986346244812,0.021300286199220864,-0.15753811597824097,-0.4120461195707321,-0.02639960296892241,-0.21148133277893066,-0.36322635412216187,-0.06410062112354353,-0.23261821269989014,-0.2953701615333557,-0.0812782327129753,-0.05920690298080444,-0.30114349722862244,-0.010164059553972038,-0.11884716153144836,-0.4131566286087036,-0.049860047031870636,-0.18207061290740967,-0.3605887293815613,-0.07277452744983748,-0.210831880569458,-0.28784018754959106,-0.07892410256408766,-0.021824002265930176,-0.2947652041912079,-0.043317613978615555,-0.08148974180221558,-0.37461337447166443,-0.06878694691204146,-0.1419486403465271,-0.35276907682418823,-0.08135685123943404,-0.17953473329544067,-0.3082786500453949,-0.08536713369630888
O,0.0,0.0,0.0,-0.10658371448516846,-0.05094081163406372,0.0010613879061907028,-0.1891440451145172,-0.11474370956420898,-0.008527627949263206,-0.24362903833389282,-0.16622862219810486,-0.030730437290515056,-0.25102846324443817,-0.23565441370010376,-0.049551358249630084,-0.12264654040336609,-0.2755869925022125,0.044721948179756055,-0.16925311088562012,-0.3757704198360443,0.004159627679143796,-0.2190399467945099,-0.34120437502861023,-0.032291391667570224,-0.24359866976737976,-0.2870393991470337,-0.052504246857608905,-0.09130203723907471,-0.2915197014808655,0.021415163028393636,-0.14992529153823853,-0.40843096375465393,-0.02362775037869369,-0.20735356211662292,-0.3618554472923279,-0.05921539085790073,-0.23012492060661316,-0.29639363288879395,-0.07527021857782756,-0.05676025152206421,-0.2982572317123413,-0.009723112721587768,-0.11502784490585327,-0.41004158556461334,-0.04815156179353153,-0.1821138560771942,-0.35703539848327637,-0.06988624277397548,-0.21236976981163025,-0.2843512296676636,-0.07528178932949459,-0.022317558526992798,-0.2900439500808716,-0.04218488353177463,-0.08116176724433899,-0.37358951568603516,-0.0663379410175935,-0.1409165859222412,-0.35006168484687805,-0.0770699435739175,-0.17631292343139648,-0.30272364616394043,-0.07971112969204341
O,0.0,0.0,0.0,-0.10676375031471252,-0.048699378967285156,0.005117464914633274,-0.19093859195709229,-0.11368721723556519,-0.0021021132248506547,-0.24788419902324677,-0.1624372899532318,-0.023016825679974318,-0.2569928467273712,-0.23234641551971436,-0.04101249984307742,-0.1240164041519165,-0.2775152027606964,0.05277189576224828,-0.1749120056629181,-0.37304285168647766,0.013362873915298223,-0.2244585156440735,-0.33983105421066284,-0.023446131859259367,-0.2500889152288437,-0.2850300073623657,-0.044015370670990706,-0.09240573644638062,-0.2952120006084442,0.027201497565670252,-0.15487617254257202,-0.4064399302005768,-0.017552823189930677,-0.2120649218559265,-0.3600507974624634,-0.05551641843123889,-0.236113503575325,-0.2947061359882355,-0.07301617077393985,-0.05735167860984802,-0.3027641773223877,-0.006053761475072861,-0.11876913905143738,-0.40690094232559204,-0.04433661362929797,-0.1864471733570099,-0.3537692427635193,-0.0679128359894321,-0.2187315821647644,-0.28230810165405273,-0.07431421837611651,-0.02375611662864685,-0.29423102736473083,-0.040284548316435576,-0.08660265803337097,-0.37104055285453796,-0.06475397608085132,-0.14877325296401978,-0.35182780027389526,-0.07663983515305972,-0.18733665347099304,-0.31231874227523804,-0.07982764056725955
O,0.0,0.0,0.0,-0.10815292596817017,-0.04987990856170654,0.0024685298564008917,-0.19182175397872925,-0.11253070831298828,-0.0065233868075438295,-0.24939721822738647,-0.15951007604599,-0.028964948141378954,-0.2618643641471863,-0.23163941502571106,-0.04838327341656168,-0.12563052773475647,-0.27837052941322327,0.05116720846910994,-0.17845213413238525,-0.36774006485939026,0.010609661928015157,-0.22731506824493408,-0.33338606357574463,-0.02783222147206743,-0.25230926275253296,-0.2776542901992798,-0.04954332881550272,-0.09466150403022766,-0.2969589829444885,0.02633853419740717,-0.15854153037071228,-0.4037266969680786,-0.01830614008883913,-0.21630296111106873,-0.3563195765018463,-0.05613682442287882,-0.24003508687019348,-0.2884994447231293,-0.07408620440344293,-0.06028333306312561,-0.30476319789886475,-0.006702824727994994,-0.1213526725769043,-0.4077002704143524,-0.04443414905051668,-0.1900179386138916,-0.3552190661430359,-0.06796366744617899,-0.22211605310440063,-0.28274497389793396,-0.07491880678514917,-0.027508258819580078,-0.2952178120613098,-0.041174106532139376,-0.08974093198776245,-0.37087005376815796,-0.06498002284149607,-0.15356966853141785,-0.34955358505249023,-0.07684075855593164,-0.1930406093597412,-0.306002140045166,-0.08045867108683069
