label,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20
P,0.0,0.0,0.0,-0.06535035371780396,-0.05871596932411194,-0.02480871874143986,-0.12280726432800293,-0.10548853874206543,-0.05831508237173466,-0.17032432556152344,-0.11944660544395447,-0.08839876103451161,-0.21367913484573364,-0.13886645436286926,-0.1230572898988953,-0.08459776639938354,-0.21576187014579773,-0.09002091634323506,-0.17783910036087036,-0.2012956440448761,-0.1372729455237618,-0.2366180419921875,-0.21109935641288757,-0.1721029196982613,-0.2883586287498474,-0.22178515791893005,-0.19838222014954,-0.04168802499771118,-0.1816731095314026,-0.1012173806433907,-0.16750651597976685,-0.09525677561759949,-0.15149722147037892,-0.2250329852104187,-0.02092757821083069,-0.1647554402356377,-0.26868584752082825,0.03051578998565674,-0.17145100879719166,-0.0099639892578125,-0.11177429556846619,-0.11137991297295002,-0.11454474925994873,-0.024611085653305054,-0.14514773237755207,-0.09853243827819824,-0.01522749662399292,-0.1269684051280251,-0.07276040315628052,-0.03388166427612305,-0.11447184431602864,0.008332371711730957,-0.03559434413909912,-0.12347663837721257,-0.08078056573867798,0.027247488498687744,-0.15190816569378285,-0.07420796155929565,0.0323580801486969,-0.13732754337837605,-0.04968363046646118,0.006717383861541748,-0.12381935018350987
P,0.0,0.0,0.0,-0.06872391700744629,-0.06485703587532043,-0.030464381121760198,-0.12460750341415405,-0.11412528157234192,-0.07003573901272375,-0.16918355226516724,-0.12805932760238647,-0.10478663272476751,-0.21123123168945312,-0.14523279666900635,-0.14451802349901754,-0.08156925439834595,-0.22118060290813446,-0.10911463029003698,-0.17824256420135498,-0.20470848679542542,-0.162570243843561,-0.23938369750976562,-0.21695108711719513,-0.20077044344759543,-0.29219064116477966,-0.23042872548103333,-0.2294291762194689,-0.03703397512435913,-0.18331500887870789,-0.1191778910837229,-0.1629180610179901,-0.10449177026748657,-0.17660950697279532,-0.22176668047904968,-0.03199717402458191,-0.1900881139121111,-0.2645840048789978,0.02033531665802002,-0.1969107744774874,-0.004702210426330566,-0.11104187369346619,-0.1279710439524706,-0.1115979552268982,-0.031186193227767944,-0.1659964529357012,-0.09931439161300659,-0.0259665846824646,-0.14431898868895132,-0.07339787483215332,-0.04453423619270325,-0.12936920500612814,0.014123678207397461,-0.03445321321487427,-0.1392598805508669,-0.07723450660705566,0.023461580276489258,-0.17069626427507956,-0.0729285478591919,0.023812592029571533,-0.1551714298806246,-0.04797935485839844,-0.003308206796646118,-0.1409977284750994
P,0.0,0.0,0.0,-0.0641135573387146,-0.05905315279960632,-0.03782247333120381,-0.11660420894622803,-0.11145198345184326,-0.08108476503085171,-0.15734219551086426,-0.13400086760520935,-0.11804112000655209,-0.20169222354888916,-0.15939098596572876,-0.15956835402440106,-0.07878392934799194,-0.21923834085464478,-0.11858738167475735,-0.1653316617012024,-0.2127777636051178,-0.18188862456273114,-0.2250952124595642,-0.2267986536026001,-0.2278120960135368,-0.27805429697036743,-0.2405547797679901,-0.2603006954331306,-0.03163552284240723,-0.18576043844223022,-0.12496684445332562,-0.14867743849754333,-0.11212632060050964,-0.18692833138894116,-0.20846474170684814,-0.04231029748916626,-0.2012605960507301,-0.2515908479690552,0.0033324360847473145,-0.20793829812001263,0.002030313014984131,-0.11473333835601807,-0.13124410761784588,-0.09959512948989868,-0.03566461801528931,-0.17174301995228802,-0.09836900234222412,-0.017627358436584473,-0.1465149368185905,-0.0767853856086731,-0.02492198348045349,-0.12802705122422253,0.02011275291442871,-0.04027882218360901,-0.1413272316594032,-0.06901329755783081,0.019735604524612427,-0.17587728752087628,-0.07310402393341064,0.02816939353942871,-0.16044470621537243,-0.05208230018615723,0.010768890380859375,-0.14481478883217846
P,0.0,0.0,0.0,-0.0683862566947937,-0.05574071407318115,-0.02948204054314374,-0.12542015314102173,-0.10634171962738037,-0.06331325507539987,-0.16813915967941284,-0.12648820877075195,-0.09264206326383828,-0.2087683379650116,-0.15062490105628967,-0.12620379215854882,-0.08019846677780151,-0.21709564328193665,-0.09371527469534158,-0.17067673802375793,-0.20413139462471008,-0.1457426119484353,-0.22954851388931274,-0.21611131727695465,-0.18332655913013696,-0.2811020016670227,-0.23010632395744324,-0.21015924400467156,-0.03659743070602417,-0.1827080249786377,-0.10284418052810906,-0.15928682684898376,-0.1006271243095398,-0.15684676355499505,-0.21684488654136658,-0.028888434171676636,-0.16936870104450463,-0.2586721181869507,0.02332744002342224,-0.1734515745081353,-0.0048539042472839355,-0.11253559589385986,-0.11198736167330026,-0.1089211106300354,-0.029529601335525513,-0.15108128077167748,-0.09830152988433838,-0.01959368586540222,-0.13269894010204553,-0.07362568378448486,-0.03548312187194824,-0.11715455538410424,0.014030158519744873,-0.037850141525268555,-0.12342667764801263,-0.07695859670639038,0.023325800895690918,-0.15666867977756738,-0.07446253299713135,0.027958691120147705,-0.14319798535484551,-0.050486624240875244,0.004870861768722534,-0.12816187924522637
P,0.0,0.0,0.0,-0.06384259462356567,-0.05995810031890869,-0.025879758910491546,-0.1190636157989502,-0.10638201236724854,-0.05928048448379286,-0.16141659021377563,-0.1226864755153656,-0.08803489388640173,-0.20216327905654907,-0.15071949362754822,-0.12072201402600058,-0.07484245300292969,-0.21425825357437134,-0.09716303230936774,-0.16841775178909302,-0.20123091340065002,-0.14784395279104956,-0.22807711362838745,-0.21127837896347046,-0.18327216388399847,-0.2807391881942749,-0.2226109504699707,-0.20886334361250647,-0.03211021423339844,-0.17871952056884766,-0.10823461742813834,-0.1580703854560852,-0.09957078099250793,-0.16026122452433356,-0.2117605209350586,-0.02471265196800232,-0.17023391606028326,-0.25167369842529297,0.029142290353775024,-0.17329147042448767,-0.0018522143363952637,-0.10920807719230652,-0.11857293875630148,-0.10668379068374634,-0.02857750654220581,-0.15442291976626166,-0.09152978658676147,-0.020995020866394043,-0.1330702263277317,-0.06595522165298462,-0.03876817226409912,-0.11690117748196371,0.0166359543800354,-0.03540661931037903,-0.1309092897337223,-0.07274395227432251,0.02363818883895874,-0.16219132723028906,-0.06722807884216309,0.02519094944000244,-0.14698846222574957,-0.04392707347869873,0.00030541419982910156,-0.13147328378374823
P,0.0,0.0,0.0,-0.06500691175460815,-0.05559802055358887,-0.026256707302309223,-0.12293428182601929,-0.09938418865203857,-0.06047904937622661,-0.16803082823753357,-0.11395040154457092,-0.09061632751581783,-0.21100449562072754,-0.14322227239608765,-0.12484904824850673,-0.08054566383361816,-0.2098032534122467,-0.0960674330508482,-0.17516562342643738,-0.19364458322525024,-0.1468951523220312,-0.23485875129699707,-0.20303431153297424,-0.18278203605768795,-0.28728926181793213,-0.214072585105896,-0.20897437333223934,-0.03749537467956543,-0.1754157841205597,-0.10705176442024822,-0.16549301147460938,-0.09228569269180298,-0.15879060029146785,-0.22033706307411194,-0.020389407873153687,-0.16919338404295559,-0.26195716857910156,0.03014513850212097,-0.17298221289274807,-0.0064013004302978516,-0.10488522052764893,-0.11737589239237423,-0.11254268884658813,-0.01939883828163147,-0.153549429765917,-0.09502178430557251,-0.010144531726837158,-0.13196442722437496,-0.06773984432220459,-0.0272921621799469,-0.11584653406498546,0.012070298194885254,-0.029227614402770996,-0.12975124715921993,-0.07684141397476196,0.03201749920845032,-0.1626625925218832,-0.07068455219268799,0.03556063771247864,-0.14818937777636165,-0.04622006416320801,0.010598510503768921,-0.13304967879412288
P,0.0,0.0,0.0,-0.0661270022392273,-0.055707454681396484,-0.03083198752725025,-0.12269437313079834,-0.10060563683509827,-0.0713599347742786,-0.16588738560676575,-0.11496391892433167,-0.10623052206361194,-0.21141821146011353,-0.14424920082092285,-0.14560585704171558,-0.07630294561386108,-0.20785006880760193,-0.11867615070664783,-0.17362159490585327,-0.19436275959014893,-0.1777122416766872,-0.23425865173339844,-0.2046387940645218,-0.2197308042320003,-0.2881794273853302,-0.21689805388450623,-0.25107107546651264,-0.032463252544403076,-0.1703249216079712,-0.12966598060452839,-0.15970194339752197,-0.09913957118988037,-0.18935209002816578,-0.21227353811264038,-0.030979186296463013,-0.2017968842061748,-0.25065499544143677,0.01617753505706787,-0.20856801655614277,-0.0011978745460510254,-0.0979902446269989,-0.13956278052651783,-0.11167216300964355,-0.021950066089630127,-0.1784965195926418,-0.09660345315933228,-0.010711491107940674,-0.15260193732106586,-0.06754964590072632,-0.02462846040725708,-0.1354751684936275,0.01638484001159668,-0.02229979634284973,-0.15221860494935413,-0.0764697790145874,0.03338637948036194,-0.18772065129601856,-0.07237976789474487,0.03784298896789551,-0.17265177753293415,-0.04693150520324707,0.01533934473991394,-0.15853863444650074
P,0.0,0.0,0.0,-0.06499278545379639,-0.0552440881729126,-0.02799746036794204,-0.12114220857620239,-0.10111036896705627,-0.061173929053211396,-0.16409066319465637,-0.11711561679840088,-0.08922963418331165,-0.20513921976089478,-0.14693909883499146,-0.1214519349512102,-0.07734346389770508,-0.21069052815437317,-0.09706438906755466,-0.16801360249519348,-0.19637316465377808,-0.14902791209783572,-0.22624900937080383,-0.2073671817779541,-0.18820081480112094,-0.27932778000831604,-0.21936574578285217,-0.21708810158338565,-0.03374677896499634,-0.17615997791290283,-0.10568710990514774,-0.1555415391921997,-0.09456709027290344,-0.15779083796110172,-0.2102220058441162,-0.029164135456085205,-0.1718468797978403,-0.2518978714942932,0.019132137298583984,-0.1793571246441843,-0.003200531005859375,-0.10639700293540955,-0.11362698503103275,-0.10779941082000732,-0.02267056703567505,-0.148387370782757,-0.09466755390167236,-0.019287586212158203,-0.12982745297517795,-0.07020759582519531,-0.03665804862976074,-0.11687607892122287,0.01374751329421997,-0.031631529331207275,-0.1238601563152315,-0.07553058862686157,0.0306241512298584,-0.15587641127672214,-0.07187670469284058,0.031078994274139404,-0.14379553325738925,-0.04912072420120239,0.005109161138534546,-0.1312807781275751
P,0.0,0.0,0.0,-0.06574678421020508,-0.05835503339767456,-0.02793740160473135,-0.12386125326156616,-0.10595965385437012,-0.06078109569557455,-0.16516923904418945,-0.11965179443359375,-0.08849838427909162,-0.1999940574169159,-0.1366128921508789,-0.12105116299994734,-0.07495355606079102,-0.21171745657920837,-0.09691101364501264,-0.16521716117858887,-0.19570136070251465,-0.1488546957791641,-0.2229272723197937,-0.20618213713169098,-0.18829808436044004,-0.2754528522491455,-0.21841761469841003,-0.21686617336877134,-0.030779898166656494,-0.17587551474571228,-0.10509060375102308,-0.15000945329666138,-0.09143036603927612,-0.1569432993949249,-0.2053542137145996,-0.019818514585494995,-0.17097055218823698,-0.2481735348701477,0.032910943031311035,-0.1775405337632492,0.0007967948913574219,-0.10403400659561157,-0.11228553257592466,-0.09863132238388062,-0.02181902527809143,-0.1490681102097824,-0.08809137344360352,-0.017895251512527466,-0.1328879823506668,-0.06609570980072021,-0.034816235303878784,-0.12004300258763578,0.019340991973876953,-0.026876747608184814,-0.12125364742882994,-0.0669935941696167,0.0375838577747345,-0.15335478685506132,-0.06635284423828125,0.03950154781341553,-0.14045649073727873,-0.04647231101989746,0.01575547456741333,-0.1266168584645584
P,0.0,0.0,0.0,-0.06713861227035522,-0.05547294020652771,-0.029482994320176203,-0.12430769205093384,-0.10076430439949036,-0.06353132808425244,-0.16634047031402588,-0.11759397387504578,-0.09205526495196636,-0.20800882577896118,-0.1428343653678894,-0.12450138116099652,-0.08280861377716064,-0.20826375484466553,-0.10082125300385769,-0.1737569272518158,-0.19442468881607056,-0.1545619332216006,-0.23127692937850952,-0.2061624526977539,-0.19347712034203823,-0.28223520517349243,-0.22087183594703674,-0.22148593896844204,-0.038638949394226074,-0.17356309294700623,-0.11003187680461224,-0.15879124402999878,-0.09117996692657471,-0.16288642221906002,-0.21534550189971924,-0.02000442147254944,-0.17413214975812252,-0.257032573223114,0.029116064310073853,-0.1787359678170901,-0.006425678730010986,-0.10422828793525696,-0.11916803950288113,-0.10803490877151489,-0.02039685845375061,-0.15588429206826504,-0.09570902585983276,-0.012480318546295166,-0.1366379522702914,-0.07140141725540161,-0.030553698539733887,-0.12226277226426419,0.013234615325927734,-0.029717832803726196,-0.13080152505852993,-0.0737992525100708,0.03278180956840515,-0.16338437432267483,-0.0715327262878418,0.03570494055747986,-0.15051455432393368,-0.05064511299133301,0.011540204286575317,-0.13697458440282162
