label,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20
Y,0.0,0.0,0.0,-0.08667135238647461,-0.05679881572723389,-0.06414980878804499,-0.150069922208786,-0.17360615730285645,-0.09687102278445536,-0.19739121198654175,-0.2827335000038147,-0.12493700971577937,-0.26456353068351746,-0.3288843631744385,-0.14013654431079203,-0.11083227396011353,-0.31075412034988403,-0.03521602665756518,-0.07909888029098511,-0.3915189504623413,-0.07452211221431071,-0.07562512159347534,-0.28983908891677856,-0.08220524778340632,-0.0963321328163147,-0.2621864378452301,-0.08340400894854838,-0.04344034194946289,-0.3044372797012329,-0.020000965052588526,-0.013248145580291748,-0.3614138066768646,-0.06292567094538981,-0.0271756649017334,-0.23152413964271545,-0.06047066366051013,-0.057292282581329346,-0.24516576528549194,-0.049924083703501765,0.016866326332092285,-0.2867644429206848,-0.0158363475439387,0.0504109263420105,-0.32507389783859253,-0.06443137367938334,0.024371683597564697,-0.2217015027999878,-0.04828172242019946,-0.010727524757385254,-0.19997942447662354,-0.02593546053145701,0.06881624460220337,-0.26555195450782776,-0.016911494263752047,0.10861945152282715,-0.35481777787208557,-0.048270736539109294,0.13985520601272583,-0.4113157391548157,-0.04886205559347445,0.16873043775558472,-0.48215271532535553,-0.04236452718947703
Y,0.0,0.0,0.0,-0.08640199899673462,-0.05593276023864746,-0.06208586743463229,-0.1490330696105957,-0.17214488983154297,-0.09427291205514621,-0.19640707969665527,-0.27911412715911865,-0.12239893576492022,-0.26369866728782654,-0.323171466588974,-0.13796459189046573,-0.1091110110282898,-0.30729758739471436,-0.03632453134645175,-0.07798928022384644,-0.38750115036964417,-0.07695537111152362,-0.07521772384643555,-0.28662288188934326,-0.08448431691516589,-0.0948362946510315,-0.2582067549228668,-0.08523394963134479,-0.041890501976013184,-0.299310564994812,-0.023155823856484403,-0.012439846992492676,-0.35711154341697693,-0.06762297502149295,-0.02792423963546753,-0.22668054699897766,-0.06479114344705295,-0.05679363012313843,-0.2405225932598114,-0.05357176116098117,0.017969965934753418,-0.2816013991832733,-0.020968128502261152,0.051329076290130615,-0.3202328383922577,-0.07122629931558322,0.02316075563430786,-0.21578708291053772,-0.05513133159269046,-0.01211470365524292,-0.19402813911437988,-0.03250416418899249,0.06976318359375,-0.2603772282600403,-0.02388600496936988,0.10971039533615112,-0.34980785846710205,-0.056881186127554884,0.14026248455047607,-0.4063803553581238,-0.05809914371360492,0.1693987250328064,-0.47701847553253174,-0.05181968635309886
Y,0.0,0.0,0.0,-0.08732223510742188,-0.0562363862991333,-0.06340708997666411,-0.14992621541023254,-0.17337310314178467,-0.09556771483838133,-0.196632981300354,-0.2813273072242737,-0.12342217978655867,-0.2629578709602356,-0.32661518454551697,-0.13856574562012725,-0.10899537801742554,-0.30991265177726746,-0.03521044966399245,-0.07741659879684448,-0.38981789350509644,-0.07539816614806227,-0.07519137859344482,-0.28833842277526855,-0.08265932318388991,-0.0956844687461853,-0.26082873344421387,-0.08307826933085494,-0.0413823127746582,-0.30151471495628357,-0.021042814893718287,-0.011761963367462158,-0.358875572681427,-0.06555093493878417,-0.027346432209014893,-0.2285952866077423,-0.06314322021424346,-0.05651116371154785,-0.2437085211277008,-0.05185207393586211,0.018567442893981934,-0.2833631634712219,-0.017983366219397112,0.05184274911880493,-0.32110533118247986,-0.0685641136449533,0.023939430713653564,-0.21661576628684998,-0.05295578804432921,-0.011271536350250244,-0.19657057523727417,-0.030156776724453493,0.07036197185516357,-0.2623630166053772,-0.020039352072473093,0.10979115962982178,-0.3518381714820862,-0.05251407664835028,0.1402413249015808,-0.4077669382095337,-0.053261459289188906,0.16948658227920532,-0.4781723767518997,-0.04640061449825339
Y,0.0,0.0,0.0,-0.08900386095046997,-0.05219334363937378,-0.06687247473655589,-0.15127676725387573,-0.16802561283111572,-0.09969877917228587,-0.19749516248703003,-0.27812543511390686,-0.1271119760340298,-0.2635039985179901,-0.32615944743156433,-0.1419609235590542,-0.11202704906463623,-0.3070845901966095,-0.04104279447255976,-0.07790213823318481,-0.388319194316864,-0.0805758209889973,-0.07378798723220825,-0.2856941223144531,-0.08688877243457682,-0.09448009729385376,-0.2557238042354584,-0.08635602611957438,-0.044657886028289795,-0.3004436492919922,-0.02465030643998034,-0.011228680610656738,-0.356696218252182,-0.06947118509469874,-0.02529209852218628,-0.2277292013168335,-0.06862994749008067,-0.05610454082489014,-0.23833486437797546,-0.058501605874880624,0.015842914581298828,-0.28274598717689514,-0.01885467860756762,0.05240052938461304,-0.3179083466529846,-0.07079507131038554,0.025937020778656006,-0.21315687894821167,-0.05738017056046374,-0.010294079780578613,-0.19127345085144043,-0.035502978599652124,0.06820279359817505,-0.26183682680130005,-0.017966243437513185,0.10737788677215576,-0.3527583181858063,-0.0505310045546139,0.13879776000976562,-0.40974706411361694,-0.05119839776216395,0.16745704412460327,-0.47958509624004364,-0.04409949201999552
Y,0.0,0.0,0.0,-0.08830267190933228,-0.051133930683135986,-0.064480273231311,-0.15050116181373596,-0.1689041256904602,-0.09607352892999188,-0.19780603051185608,-0.27708274126052856,-0.12264688144568936,-0.2647334635257721,-0.3228222131729126,-0.13665637205485837,-0.11199957132339478,-0.30567070841789246,-0.03840506653432385,-0.07895773649215698,-0.3867540955543518,-0.0773652477109863,-0.0743904709815979,-0.2832590341567993,-0.08374696056489483,-0.09417158365249634,-0.2543081045150757,-0.08379032294396893,-0.04445934295654297,-0.29947471618652344,-0.0234041010880901,-0.012404978275299072,-0.35622766613960266,-0.06787071208600537,-0.026432335376739502,-0.22640568017959595,-0.06681045721416012,-0.05635941028594971,-0.23691371083259583,-0.056718161507888,0.016001343727111816,-0.281583696603775,-0.018920740290923277,0.051411330699920654,-0.31775233149528503,-0.0702020807111694,0.024625539779663086,-0.212539404630661,-0.05606168712620274,-0.011089444160461426,-0.19093310832977295,-0.03412998299245373,0.0687224268913269,-0.2602822184562683,-0.019280487849755445,0.10744589567184448,-0.34994280338287354,-0.05204545538072125,0.13810241222381592,-0.40584301948547363,-0.05267396773342625,0.1666164994239807,-0.4759046584367752,-0.04568689520601765
Y,0.0,0.0,0.0,-0.08771401643753052,-0.05315971374511719,-0.06385131453930626,-0.15030401945114136,-0.1699715256690979,-0.09544147824703941,-0.1963765025138855,-0.2798764407634735,-0.12224898760973701,-0.26123157143592834,-0.3251253366470337,-0.13619767403065453,-0.11122459173202515,-0.3096848726272583,-0.03579729324042091,-0.07943886518478394,-0.3909520208835602,-0.07484016096054802,-0.07559531927108765,-0.28958719968795776,-0.0811757547205616,-0.09515398740768433,-0.26143866777420044,-0.08110484754502068,-0.044042766094207764,-0.3035092353820801,-0.021464585269086456,-0.012367188930511475,-0.35922712087631226,-0.06580477481543312,-0.027074575424194336,-0.2318868339061737,-0.06442103808581123,-0.056600749492645264,-0.24497109651565552,-0.05409650778233299,0.01616799831390381,-0.2847881317138672,-0.017976649979345893,0.05157673358917236,-0.3223205506801605,-0.06899325823246727,0.02484762668609619,-0.21931368112564087,-0.05467765679418335,-0.009559392929077148,-0.19884920120239258,-0.03264422615825424,0.06884676218032837,-0.2616482675075531,-0.019485688710801696,0.10960376262664795,-0.3521045446395874,-0.05265015637337456,0.1402040719985962,-0.40914320945739746,-0.0539191951399971,0.16862136125564575,-0.4800778776407242,-0.04722475534140358
Y,0.0,0.0,0.0,-0.08673179149627686,-0.05469846725463867,-0.06478075991702781,-0.14944177865982056,-0.17065560817718506,-0.09773408185077415,-0.1963162124156952,-0.2782115340232849,-0.12588141422105537,-0.26263758540153503,-0.32387495040893555,-0.14141736488176093,-0.11203885078430176,-0.31002336740493774,-0.03914897079897628,-0.07869189977645874,-0.3882279396057129,-0.07965891371799216,-0.07358527183532715,-0.2863776683807373,-0.08735463331771598,-0.09334969520568848,-0.2573799788951874,-0.08817103068662391,-0.044262707233428955,-0.3036001920700073,-0.024367626116998053,-0.012103438377380371,-0.3574341833591461,-0.06920881132913337,-0.02518385648727417,-0.22742506861686707,-0.06753790687156425,-0.05489492416381836,-0.23901718854904175,-0.05714012991023765,0.016634762287139893,-0.28527188301086426,-0.02041708800328479,0.05219918489456177,-0.32021069526672363,-0.0719199583990644,0.0265730619430542,-0.21548813581466675,-0.05695015873146758,-0.008060991764068604,-0.19277340173721313,-0.03451444144678817,0.06919270753860474,-0.2627364695072174,-0.021486061917073584,0.109519362449646,-0.3530242145061493,-0.05483391071987853,0.14027905464172363,-0.4103643298149109,-0.055780480907685615,0.16852843761444092,-0.48083849251270294,-0.049019477622039176
Y,0.0,0.0,0.0,-0.08802276849746704,-0.05211591720581055,-0.06360998039730248,-0.15203338861465454,-0.17062819004058838,-0.09453072433956322,-0.1993643045425415,-0.2790578603744507,-0.12028837984092888,-0.2642233073711395,-0.32400014996528625,-0.1334295648861712,-0.11280035972595215,-0.3086075782775879,-0.03941608255394158,-0.07967299222946167,-0.3906448781490326,-0.07918618654497322,-0.07577580213546753,-0.287043035030365,-0.08635075425394234,-0.0955696702003479,-0.2553291320800781,-0.08680893515833077,-0.044274091720581055,-0.30449730157852173,-0.02477754315026459,-0.012213706970214844,-0.3579123914241791,-0.06959035282619652,-0.026354312896728516,-0.23032546043395996,-0.06934948300607857,-0.055661559104919434,-0.2378745675086975,-0.060135029606897206,0.016903281211853027,-0.2861902117729187,-0.020549031325060696,0.051448702812194824,-0.32044151425361633,-0.07244535570629296,0.025471150875091553,-0.2156010866165161,-0.05942982842810807,-0.009011924266815186,-0.1909940242767334,-0.038111269824582905,0.07004821300506592,-0.26288190484046936,-0.020973563544828266,0.10955297946929932,-0.3537449836730957,-0.055061966531354756,0.1408182978630066,-0.4100908041000366,-0.057030275814611286,0.168715238571167,-0.4795495569705963,-0.05078918521888909
Y,0.0,0.0,0.0,-0.08815479278564453,-0.05426830053329468,-0.06154238295135883,-0.15112054347991943,-0.1723257303237915,-0.09229214724479107,-0.19831764698028564,-0.2778419256210327,-0.1185112544554272,-0.2639787197113037,-0.32099321484565735,-0.13219095256505398,-0.11113154888153076,-0.30894383788108826,-0.038712444271425284,-0.07913237810134888,-0.38857442140579224,-0.07807115700421718,-0.07456886768341064,-0.2857828736305237,-0.08467875656066326,-0.09323585033416748,-0.25474095344543457,-0.08501009878096966,-0.04257148504257202,-0.30345261096954346,-0.02542367067513851,-0.012207508087158203,-0.3564535677433014,-0.06975292649445919,-0.026336610317230225,-0.2275415062904358,-0.06807768579898266,-0.05516296625137329,-0.2362627387046814,-0.057990419234613455,0.018558263778686523,-0.28482651710510254,-0.02247738886950401,0.051685631275177,-0.32012709975242615,-0.07363561775861172,0.02542823553085327,-0.21447980403900146,-0.05912076544342426,-0.008803904056549072,-0.1891968846321106,-0.03723027047095684,0.07113075256347656,-0.2615285813808441,-0.024197934682945288,0.11098116636276245,-0.35190093517303467,-0.058365664001087225,0.14155787229537964,-0.4091094732284546,-0.060299607481340445,0.16929030418395996,-0.479572594165802,-0.054304497804025686
Y,0.0,0.0,0.0,-0.08680444955825806,-0.053887009620666504,-0.06368065462979189,-0.150736004114151,-0.17022711038589478,-0.097940488025273,-0.1982247531414032,-0.2789798080921173,-0.12761148647936693,-0.2677467465400696,-0.32420462369918823,-0.14453771547945848,-0.11174088716506958,-0.3101131319999695,-0.04323986010226122,-0.07897692918777466,-0.38683533668518066,-0.08450433449419847,-0.07508081197738647,-0.2845825254917145,-0.09140601591738573,-0.09404861927032471,-0.25685739517211914,-0.09258801327618471,-0.042861998081207275,-0.30358070135116577,-0.030160792410100612,-0.01172018051147461,-0.35785794258117676,-0.07513288991125933,-0.026356279850006104,-0.22406327724456787,-0.07088162587555757,-0.054802536964416504,-0.23968520760536194,-0.05945338146361223,0.018227875232696533,-0.28573891520500183,-0.027978267758811626,0.05318558216094971,-0.3206956684589386,-0.07905024127634874,0.02438455820083618,-0.21428632736206055,-0.06186078326376787,-0.011714041233062744,-0.19137871265411377,-0.03928170563253275,0.07116442918777466,-0.262965589761734,-0.031007068469847354,0.11366128921508789,-0.3536093533039093,-0.06743109808834902,0.14626330137252808,-0.4107852578163147,-0.07041762606772295,0.17598885297775269,-0.4819988012313843,-0.06553996936949602
